family,kappa,hondo,location,scale,sample_size,quantity,row,column,value,absolute_error_estimate,alternate_coordinate_difference
GNO,2,NA,0,1,1,information,2,1,7448.7004395548565,5.8554275653436792e-09,6.3664629124104977e-12
GNO,2,NA,0,1,1,covariance,2,1,-2.0000000000041092,4.8941978127198323e-07,3.6498359889947096e-11
GNO,2,NA,0,1,1,information,2,2,3722.7529557526955,2.9177008987441205e-09,3.637978807091713e-12
GNO,2,NA,0,1,1,covariance,2,2,4.5000000000079581,4.8941978127198323e-07,7.2986949817277491e-11
GNO,2,NA,0,1,1,information,2,3,-1853.9874217774172,1.446962762977124e-09,2.2737367544323206e-12
GNO,2,NA,0,1,1,covariance,2,3,0.99999999999946931,4.8941978127198323e-07,8.2600593032111647e-14
GNO,2,NA,0,1,1,information,3,1,-3709.5721075795673,2.9023750901131011e-09,4.5474735088646412e-12
GNO,2,NA,0,1,1,covariance,3,1,0.013101439595815527,4.8941978127198323e-07,2.5787878776828421e-13
GNO,2,NA,0,1,1,information,3,2,-1853.9874217774172,1.446962762977124e-09,2.2737367544323206e-12
GNO,2,NA,0,1,1,covariance,3,2,0.99999999999946942,4.8941978127198323e-07,1.9637624859569769e-12
GNO,2,NA,0,1,1,information,3,3,923.79918283924326,7.1960126895214905e-10,7.9580786405131221e-13
GNO,2,NA,0,1,1,covariance,3,3,2.0606081841506305,4.8941978127198323e-07,2.9065638784686598e-12
GLO,0,-1,0,1,1,score_mean,1,0,0,5.5595497795500773e-15,2.7755575615628914e-17
GLO,0,-1,0,1,1,score_mean,2,0,-1.1102230246251565e-16,9.9620509752748834e-15,0
GLO,0,-1,0,1,1,score_mean,3,0,-2.0816681711721685e-17,9.7534272794415726e-15,9.0205620750793969e-17
GLO,0,-1,0,1,1,information,1,1,0.33333333333333326,1.3373867036071658e-14,1.1102230246251565e-16
GLO,0,-1,0,1,1,covariance,1,1,3.113972242232403,5.4496748817983322e-13,4.4408920985006262e-16
GLO,0,-1,0,1,1,information,1,2,-2.7755575615628914e-17,5.7876650277494293e-15,5.5511151231257827e-17
GLO,0,-1,0,1,1,covariance,1,2,4.6721938141357549e-17,5.4496748817983322e-13,1.0716441982653002e-16
GLO,0,-1,0,1,1,information,1,3,-0.21497802228274204,7.0378899485062419e-15,1.1102230246251565e-16
GLO,0,-1,0,1,1,covariance,1,3,0.17671921532906712,5.4496748817983322e-13,2.7755575615628914e-17
GLO,0,-1,0,1,1,information,2,1,-2.7755575615628914e-17,5.7876650277494293e-15,5.5511151231257827e-17
GLO,0,-1,0,1,1,covariance,2,1,4.6721938141357555e-17,5.4496748817983322e-13,1.0716441982653002e-16
GLO,0,-1,0,1,1,information,2,2,1.429956044565484,1.5874432157400921e-14,4.4408920985006262e-16
GLO,0,-1,0,1,1,covariance,2,2,0.69932219511255445,5.4496748817983322e-13,2.2204460492503131e-16
GLO,0,-1,0,1,1,information,2,3,1.1102230246251565e-16,2.0912533482946806e-14,1.1102230246251565e-16
GLO,0,-1,0,1,1,covariance,2,3,-1.7844199350928454e-17,5.4496748817983322e-13,1.4414063464974717e-17
GLO,0,-1,0,1,1,information,3,1,-0.21497802228274204,7.0378899485062419e-15,1.1102230246251565e-16
GLO,0,-1,0,1,1,covariance,3,1,0.17671921532906712,5.4496748817983322e-13,0
GLO,0,-1,0,1,1,information,3,2,1.1102230246251565e-16,2.0912533482946806e-14,1.1102230246251565e-16
GLO,0,-1,0,1,1,covariance,3,2,-1.7844199350928454e-17,5.4496748817983322e-13,1.4414063464974717e-17
GLO,0,-1,0,1,1,information,3,3,3.7881313179889826,4.2418187056403696e-14,8.8817841970012523e-16
GLO,0,-1,0,1,1,covariance,3,3,0.27401128954574955,5.4496748817983322e-13,1.1102230246251565e-16
GLO,-9.9999999999999995e-07,-1,0,1,1,score_mean,1,0,-1.1102230246251565e-16,3.5869895496659745e-13,2.7755575615628914e-17
GLO,-9.9999999999999995e-07,-1,0,1,1,score_mean,2,0,4.163336342344337e-17,9.9626612479790534e-15,1.3877787807814457e-17
GLO,-9.9999999999999995e-07,-1,0,1,1,score_mean,3,0,2.0122792321330962e-16,9.7513306157174569e-15,6.9388939039072284e-18
GLO,-9.9999999999999995e-07,-1,0,1,1,information,1,1,0.33333333333519316,1.3408326943639253e-14,1.6653345369377348e-16
GLO,-9.9999999999999995e-07,-1,0,1,1,covariance,1,1,3.113972242231712,5.4493479775322602e-13,1.7763568394002505e-15
GLO,-9.9999999999999995e-07,-1,0,1,1,information,1,2,-1.6449340669577595e-06,5.8069439883685778e-15,2.7755575615628914e-17
GLO,-9.9999999999999995e-07,-1,0,1,1,covariance,1,2,2.8696337923756957e-06,5.4493479775322602e-13,1.0160160202315333e-16
GLO,-9.9999999999999995e-07,-1,0,1,1,information,1,3,-0.21497802228859036,7.0390598142000892e-15,5.5511151231257827e-17
GLO,-9.9999999999999995e-07,-1,0,1,1,covariance,1,3,0.17671921532817111,5.4493479775322602e-13,8.3266726846886741e-17
GLO,-9.9999999999999995e-07,-1,0,1,1,information,2,1,-1.6449340669577595e-06,5.8069439883685778e-15,2.7755575615628914e-17
