family,mu,sigma,gamma,base,probability,quantile,gradient_mu,gradient_sigma,gradient_gamma,cov11,cov12,cov13,cov22,cov23,cov33,variance_mle
PearsonTypeIII,2,3,-0.2,2.71828182845905,0.99,8.53520508386125,1.00000000000359,2.17840169462185,2.23016718514361,0.089999999999156,-0.00899999999997963,2.3283064365387e-15,0.0463365272712935,-0.00882107999052285,0.0582191279373897,0.47452787142232
LogPearsonTypeIII,0.3,0.2,-0.2,2.71828182845905,0.99,2.08690130983367,2.08690130983051,4.54610934984815,0.310275921323599,0.000399999999997934,-3.99999999999389e-05,1.45519152283669e-16,0.00020594012120564,-0.000588071999359418,0.0582191279365284,0.00918508185533607
PearsonTypeIII,2,3,0,2.71828182845905,0.01,-4.97904362212252,1.00000000000211,-2.32634787404231,2.20594722404395,0.09,0,0,0.045,0,0.06,0.625507438714167
LogPearsonTypeIII,0.3,0.2,0,2.71828182845905,0.01,0.847665164110984,0.847665164111037,-1.97196405242841,0.124660307712632,4e-04,0,0,2e-04,0,0.06,0.00199755447613341
PearsonTypeIII,2,3,0,2.71828182845905,0.83,4.86249575943858,0.999999999996559,0.954165253148373,-0.0447843000313715,0.09,0,0,0.045,0,0.06,0.131089747875345
LogPearsonTypeIII,0.3,0.2,0,2.71828182845905,0.83,1.63367658855882,1.63367658855921,1.55879743568084,-0.00487753749870793,4e-04,0,0,2e-04,0,0.06,0.0015549569898227
PearsonTypeIII,2,3,0,2.71828182845905,0.99,8.97904362212252,1.00000000000137,2.32634787404231,2.20594722404766,0.09,0,0,0.045,0,0.06,0.625507438715014
LogPearsonTypeIII,0.3,0.2,0,2.71828182845905,0.99,2.14957376749287,2.14957376749296,5.00065636410104,0.316123085685183,4e-04,0,0,2e-04,0,0.06,0.0128456080853097
PearsonTypeIII,2,3,0.2,2.71828182845905,0.01,-4.53520508386125,1.00000000000285,-2.17840169462185,2.23016718516655,0.089999999999156,0.00899999999997963,2.3283064365387e-15,0.0463365272712935,0.00882107999052285,0.0582191279373897,0.474527871427293
LogPearsonTypeIII,0.3,0.2,0.2,2.71828182845905,0.01,0.873121690903407,0.873121690903311,-1.90200977107369,0.129813822913975,0.000399999999997934,3.99999999999389e-05,1.45519152283669e-16,0.00020594012120564,0.000588071999359418,0.0582191279365284,0.00160778792526281
PearsonTypeIII,2,3,0.2,2.71828182845905,0.83,4.84872195031142,0.99999999999989,0.949573983438522,-0.0928345241206034,0.089999999999156,0.00899999999997963,2.3283064365387e-15,0.0463365272712935,0.00882107999052285,0.0582191279373897,0.147820082943837
LogPearsonTypeIII,0.3,0.2,0.2,2.71828182845905,0.83,1.63217714713109,1.63217714713189,1.5498729552745,-0.0101014925820338,0.000399999999997934,3.99999999999389e-05,1.45519152283669e-16,0.00020594012120564,0.000588071999359418,0.0582191279365284,0.0017501912534363
PearsonTypeIII,2,3,0.2,2.71828182845905,0.99,9.41676844721623,0.999999999994709,2.47225614907087,2.16946875307341,0.089999999999156,0.00899999999997963,2.3283064365387e-15,0.0463365272712935,0.00882107999052285,0.0582191279373897,0.786349056789268
LogPearsonTypeIII,0.3,0.2,0.2,2.71828182845905,0.99,2.21322611098434,2.21322611098492,5.47166186216715,0.32010165941565,0.000399999999997934,3.99999999999389e-05,1.45519152283669e-16,0.00020594012120564,0.000588071999359418,0.0582191279365284,0.0171192377174164
PearsonTypeIII,2,3,1.2,2.71828182845905,0.01,-2.3482454995161,0.99999999999952,-1.44941516650787,2.0326088952089,0.0899999999999999,0.0539999999999999,0,0.0778417123158923,0.0233541065357456,0.0166073646476413,0.0279998832609374
LogPearsonTypeIII,0.3,0.2,1.2,2.71828182845905,0.01,1.01016831622758,1.01016831622724,-1.46415327826221,0.13688514034848,4e-04,0.00024,0,0.000345963165848411,0.00155694043571638,0.0166073646476414,0.000126987562816826
PearsonTypeIII,2,3,1.2,2.71828182845905,0.83,4.63926728428982,0.99999999999989,0.879755761431511,-0.322852764891548,0.0899999999999999,0.0539999999999999,0,0.0778417123158923,0.0233541065357456,0.0166073646476413,0.233725230823726
LogPearsonTypeIII,0.3,0.2,1.2,2.71828182845905,0.83,1.60954439147402,1.60954439147469,1.41600595167805,-0.0346430571333051,4e-04,0.00024,0,0.000345963165848411,0.00155694043571638,0.0166073646476414,0.0026910948023351
PearsonTypeIII,2,3,1.2,2.71828182845905,0.99,11.4483096456118,0.999999999996189,3.14943654854133,1.86654556622528,0.0899999999999999,0.0539999999999999,0,0.0778417123158923,0.0233541065357456,0.0166073646476413,1.53468452749506
LogPearsonTypeIII,0.3,0.2,1.2,2.71828182845905,0.99,2.53422357912955,2.53422357912851,7.98137636227418,0.315349585694458,4e-04,0.00024,0,0.000345963165848411,0.00155694043571638,0.0166073646476414,0.0438052790580856
LnNormal,10,2,0,2.71828182845905,0.01,6.18582067170488,0.921847351651017,-1.51632642241273,0,0.0399898453234073,0.0119974563493366,0,0.023996722607005,0,0,0.0556172314685104
LnNormal,1,1,0,2.71828182845905,0.01,0.10193853555074,0.295327587135364,-0.193389051585055,0,0.00933373687519046,0.0141382670143725,0,0.0285518574319185,0,0,0.000266932510354946
LogNormal,0.3,0.2,0,2,0.01,0.891761873670117,0.618122228465504,-1.43796733208736,0,4e-04,0,0,2e-04,0,0,0.000566380045359353
LogNormal,0.3,0.2,0,2.71828182845905,0.01,0.847665164110984,0.847665164110297,-1.97196405242841,0,4e-04,0,0,2e-04,0,0,0.00106514293699243
LogNormal,0.3,0.2,0,10,0.01,0.683487262097862,1.57378758095711,-3.66117739315275,0,4e-04,0,0,2e-04,0,0,0.00367156692081648
