kappa,hondo,endpoint,step,x,logcdf,logpdf
-0.5,0.5,lower,4,-0.5857864376269045,-70.07355616013324,-33.9970573092267
-0.5,1.0,lower,1,5e-324,-744.4400719213812,-5e-324
-0.5,1.0,lower,2,1e-323,-743.7469247408213,-1.5e-323
-0.5,1.0,lower,3,1.5e-323,-743.3414596327132,-2e-323
-0.5,1.0,lower,4,2e-323,-743.0537775602613,-3e-323
-0.5,2.0,lower,1,0.8284271247461902,-18.69122394073675,17.651503169896834
-0.5,2.0,lower,2,0.8284271247461903,-18.264312312935957,17.22459154209604
-0.5,2.0,lower,3,0.8284271247461904,-18.037433607090083,16.997712836250166
-0.5,2.0,lower,4,0.8284271247461905,-17.881943145931114,16.842222375091197
-0.5,10.0,lower,1,4.32455532033676,-3.5451245162643485,28.452243006888068
-0.5,10.0,lower,2,4.324555320336761,-3.492091803945591,27.974948596019246
-0.5,10.0,lower,3,4.324555320336762,-3.4576203049879455,27.664705105400436
-0.5,10.0,lower,4,4.324555320336763,-3.4320338503208725,27.434427013396782
0.0,0.2,lower,1,-1.6094379124341,-179.44206912116195,-141.94421738449546
0.0,0.2,lower,2,-1.6094379124340998,-176.34938515416331,-139.47007021089655
0.0,0.2,lower,3,-1.6094379124340996,-174.45286286520727,-137.95285237973172
0.0,0.2,lower,4,-1.6094379124340994,-173.0811601306311,-136.85549019207076
0.0,0.5,lower,1,-0.6931471805599452,-73.09421058584333,-35.85395811236172
0.0,0.5,lower,2,-0.6931471805599451,-71.88862888292962,-35.251167260904865
0.0,0.5,lower,3,-0.693147180559945,-71.14175647858673,-34.877731058733424
0.0,0.5,lower,4,-0.6931471805599448,-70.59920742655979,-34.60645653271995
0.0,1.0,lower,1,5e-324,-744.4400719213812,-5e-324
0.0,1.0,lower,2,1e-323,-743.7469247408213,-1e-323
0.0,1.0,lower,3,1.5e-323,-743.3414596327132,-1.5e-323
0.0,1.0,lower,4,2e-323,-743.0537775602613,-2e-323
0.0,2.0,lower,1,0.6931471805599454,-18.485553830622237,17.792406650062293
0.0,2.0,lower,2,0.6931471805599455,-18.07698004945112,17.383832868891176
0.0,2.0,lower,3,0.6931471805599456,-17.855179019468224,17.162031838908277
0.0,2.0,lower,4,0.6931471805599457,-17.70206969381971,17.008922513259762
0.0,10.0,lower,1,2.3025850929940463,-3.4952528497218482,29.154690554502587
0.0,10.0,lower,2,2.302585092994047,-3.44387011840673,28.692245972666527
0.0,10.0,lower,3,2.3025850929940472,-3.4100945262228413,28.388265643011525
0.0,10.0,lower,4,2.3025850929940477,-3.3848918386883615,28.161441455201206
0.2,0.2,lower,1,-1.8986483073060738,-180.47982054799593,-143.09630610844945
0.2,0.2,lower,2,-1.8986483073060736,-177.64274386529203,-140.82664476228635
0.2,0.2,lower,3,-1.8986483073060734,-175.8438548178481,-139.3875335243312
0.2,0.2,lower,4,-1.8986483073060731,-174.52369952316343,-138.33140928858347
0.2,0.2,upper,1,4.999999999999999,-2.716530433528379e-80,-146.5659615594911
0.2,0.2,upper,2,4.999999999999998,-2.420304285808122e-78,-142.97419518666726
0.2,0.2,upper,3,4.999999999999997,-2.4796673686914197e-77,-141.11274218791033
0.2,0.2,upper,4,4.9999999999999964,-1.2058997559173439e-76,-139.8473928750617
0.2,0.5,lower,1,-0.7434917749851749,-73.9374278576764,-36.41419618439024
0.2,0.5,lower,2,-0.7434917749851748,-72.4556748892554,-35.673319700179746
0.2,0.5,lower,3,-0.7434917749851747,-71.61391145879261,-35.25243798494835
0.2,0.5,lower,4,-0.7434917749851746,-71.02330714775353,-34.95713582942881
0.2,0.5,upper,1,4.999999999999999,-2.716530433528379e-80,-146.5659615594911
0.2,0.5,upper,2,4.999999999999998,-2.420304285808122e-78,-142.97419518666726
0.2,0.5,upper,3,4.999999999999997,-2.4796673686914197e-77,-141.11274218791033
0.2,0.5,upper,4,4.9999999999999964,-1.2058997559173439e-76,-139.8473928750617
0.2,1.0,lower,1,5e-324,-744.4400719213812,-5e-324
0.2,1.0,lower,2,1e-323,-743.7469247408213,-1e-323
0.2,1.0,lower,3,1.5e-323,-743.3414596327132,-1e-323
0.2,1.0,lower,4,2e-323,-743.0537775602613,-1.5e-323
0.2,1.0,upper,1,4.999999999999999,-2.716530433528379e-80,-146.5659615594911
0.2,1.0,upper,2,4.999999999999998,-2.420304285808122e-78,-142.97419518666726
0.2,1.0,upper,3,4.999999999999997,-2.4796673686914197e-77,-141.11274218791033
0.2,1.0,upper,4,4.9999999999999964,-1.2058997559173439e-76,-139.8473928750617
0.2,2.0,lower,1,0.6472471835193794,-18.497461122181768,17.942943377733812
0.2,2.0,lower,2,0.6472471835193795,-18.041925396778623,17.487407652330667
0.2,2.0,lower,3,0.6472471835193796,-17.8075781260519,17.253060381603945
0.2,2.0,lower,4,0.6472471835193797,-17.648649063939587,17.09413131949163
0.2,2.0,upper,1,4.999999999999999,-2.716530433528379e-80,-146.5659615594911
0.2,2.0,upper,2,4.999999999999998,-2.420304285808122e-78,-142.97419518666726
0.2,2.0,upper,3,4.999999999999997,-2.4796673686914197e-77,-141.11274218791033
0.2,2.0,upper,4,4.9999999999999964,-1.2058997559173439e-76,-139.8473928750617
0.2,10.0,lower,1,1.845213277599034,-3.5492564439210996,30.10123992089466
0.2,10.0,lower,2,1.8452132775990342,-3.4843678165258685,29.517242274337576
0.2,10.0,lower,3,1.8452132775990344,-3.445341300435684,29.166003629525918
0.2,10.0,lower,4,1.8452132775990346,-3.4173418432126295,28.91400851451843
0.2,10.0,upper,1,4.999999999999999,-2.716530433528379e-80,-146.5659615594911
0.2,10.0,upper,2,4.999999999999998,-2.420304285808122e-78,-142.97419518666726
0.2,10.0,upper,3,4.999999999999997,-2.4796673686914197e-77,-141.11274218791033
0.2,10.0,upper,4,4.9999999999999964,-1.2058997559173439e-76,-139.8473928750617
2.0,0.2,lower,1,-11.999999999999996,-184.926309644878,-149.5504856283365
2.0,0.2,lower,2,-11.999999999999995,-181.93071849031966,-147.15401270468982
2.0,0.2,lower,3,-11.999999999999993,-180.07047293437805,-145.66581625993655
2.0,0.2,lower,4,-11.999999999999991,-178.7177439833341,-144.58363309910135
2.0,0.2,upper,1,0.49999999999999994,-1.0536712138825738e-08,18.36840027640918
2.0,0.2,upper,2,0.4999999999999999,-1.4901161216052115e-08,18.02182668263765
2.0,0.2,upper,3,0.49999999999999983,-1.8250120783250976e-08,17.8190941259044
2.0,0.2,upper,4,0.4999999999999998,-2.1073424299855936e-08,17.675253087419865
2.0,0.5,lower,1,-1.4999999999999998,-74.8598955004741,-38.123094930796995
2.0,0.5,lower,2,-1.4999999999999996,-73.4736011393542,-37.42994775023705
2.0,0.5,lower,3,-1.4999999999999993,-72.66267092313787,-37.02448264212888
2.0,0.5,lower,4,-1.4999999999999991,-72.0873067782343,-36.7368005696771
2.0,0.5,upper,1,0.49999999999999994,-1.0536712155479084e-08,18.368400279570196
2.0,0.5,upper,2,0.4999999999999999,-1.4901161249358807e-08,18.021826687107996
2.0,0.5,upper,3,0.49999999999999983,-1.8250120833211014e-08,17.819094131379437
2.0,0.5,upper,4,0.4999999999999998,-2.107342436646932e-08,17.675253093741894
2.0,1.0,lower,1,5e-324,-744.4400719213812,5e-324
2.0,1.0,lower,2,1e-323,-743.7469247408213,1e-323
2.0,1.0,lower,3,1.5e-323,-743.3414596327132,1.5e-323
2.0,1.0,lower,4,2e-323,-743.0537775602613,2e-323
2.0,1.0,upper,1,0.49999999999999994,-1.053671218323466e-08,18.36840028483855
2.0,1.0,upper,2,0.4999999999999999,-1.490116130486996e-08,18.021826694558577
2.0,1.0,upper,3,0.49999999999999983,-1.825012091647774e-08,17.819094140504497
2.0,1.0,upper,4,0.4999999999999998,-2.1073424477491626e-08,17.675253104278607
2.0,2.0,lower,1,0.37500000000000006,-18.021826694558577,18.714973875118524
2.0,2.0,lower,2,0.3750000000000001,-17.675253104278607,18.36840028483855
2.0,2.0,lower,3,0.37500000000000017,-17.472520550224523,18.16566773078447
2.0,2.0,lower,4,0.3750000000000002,-17.328679513998633,18.02182669455858
2.0,2.0,upper,1,0.49999999999999994,-1.0536712238745813e-08,18.368400295375263
